Báo CáoQuảng cáo Tìm Kiếm Sản Phẩm - Shopee Việt Nam
Tên đăng nhập:,tovasa_store
Thời gian tạo báo cáo:,08/06/2022 10:38
Khoảng thời gian,01/05/2022 - 31/05/2022
Sản phẩm,Giày sandal siêu nhân người nhện bé trai dép quai hậu đi học cho bé mềm nhẹ SDA3
Trạng thái:,Đang chạy
Mã Người bán,145598609	
Mã sản phẩm,15449244791	

Thứ tự,Từ khóa,Trạng thái,Loại từ khóa,Lệnh tìm kiếm,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,Doanh Thu/Chi Phí,ROI trực tiếp,CIR,CIR trực tiếp
69	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,sandan nhựa bé trai 1 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.00%,0.00%
70	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,Giày sandal siêu nhẹ,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,3.5,0.0,0.0,0.00%,0.00%
71	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,dép bé trai ultraman có đèn,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.00%,0.00%
72	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,giày das bé trai,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,12.5,0.0,0.0,0.00%,0.00%
73	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,giày bé 0,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.00%,0.00%
74	,giày sandal siêu nhân cho bé trai,thông thường,Từ khóa mở rộng,dep cho bé trai sơ sinh 0 12 tháng,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.00%,0.00%
75	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,Sandal,6,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,23.666666666666668,0.0,0.0,0.00%,0.00%
76	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,sandan be trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
77	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép quai hậu bitis cho bé trai,15,1,6.67%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,826.0,1.4,0.0,0.0,0.00%,0.00%
78	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,giày bé trai 2 tuổi đế mềm,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.00%,0.00%
79	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép coai hậu,6,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,7.166666666666667,0.0,0.0,0.00%,0.00%
80	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,Quai hau di hoc cho be,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.00%,0.00%
81	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,giay quai hậu cho be gai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,13.0,0.0,0.0,0.00%,0.00%
82	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,giày biti trẻ em,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.00%,0.00%
83	,giày sandal siêu nhân cho bé trai,thông thường,Từ khóa mở rộng,Xăng đan giày rọ bé gái,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,13.0,0.0,0.0,0.00%,0.00%
84	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép quai hậu  cho người lớn,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.00%,0.00%
85	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,Dép giấy cho bé tập đi,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,21.5,0.0,0.0,0.00%,0.00%
86	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,Giày siêu nhân bé trai 8 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.00%,0.00%
87	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,Sandal bitis cho bé trai,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,15.5,0.0,0.0,0.00%,0.00%
88	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép cá,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,14.0,0.0,0.0,0.00%,0.00%
89	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,Dép dán trên cho bé trai so sinh,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.00%,0.00%
90	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,Sandal nhẹ bé,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
91	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,Dép quay hau bé trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.00%,0.00%
92	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép hoa cho be,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,14.0,0.0,0.0,0.00%,0.00%
93	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,Sandal cúc bấm cho bé,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,26.0,0.0,0.0,0.00%,0.00%
94	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,Dép quai hậu cho nam,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,36.0,0.0,0.0,0.00%,0.00%
95	,giày sandal siêu nhân cho bé trai,thông thường,Từ khóa mở rộng,giay tap di cho be gai,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,85.5,0.0,0.0,0.00%,0.00%
96	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,Xăng đan,3,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,23.0,0.0,0.0,0.00%,0.00%
97	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,biti s bé trai,8,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
98	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép có quai nữ,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,54.0,0.0,0.0,0.00%,0.00%
99	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,giày quai hậu hot,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,11.0,0.0,0.0,0.00%,0.00%
