Báo CáoQuảng cáo Tìm Kiếm Sản Phẩm - Shopee Việt Nam
Tên đăng nhập:,tovasa_store
Thời gian tạo báo cáo:,08/06/2022 09:49
Khoảng thời gian,26/05/2022 - 08/06/2022
Sản phẩm,Giày cao cổ bé trai bé gái bốt đẹp cho bé KIKNE JDA151
Trạng thái:,Đang chạy
Mã Người bán,145598609	
Mã sản phẩm,8780736071	

Thứ tự,Từ khóa,Trạng thái,Loại từ khóa,Lệnh tìm kiếm,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,Doanh Thu/Chi Phí,ROI trực tiếp,CIR,CIR trực tiếp
87	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày cho be trai,13,1,7.69%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,954.0,1.2307692307692308,0.0,0.0,0.00%,0.00%
88	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Boots martin bé trai,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.00%,0.00%
89	,giày thể thao cổ cao cho bé gái,thông thường,Từ khóa mở rộng,Giầy thể thao cho bé,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
90	,giày cho bé trai,thông thường,Từ khóa chính xác,Giày Cho Bé Trai,9,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.5555555555555554,0.0,0.0,0.00%,0.00%
91	,giày thể thao cho bé gái 10 tuổi,thông thường,Từ khóa mở rộng,Giày Auth Bé Gái,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,17.5,0.0,0.0,0.00%,0.00%
92	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Joden cổ cao,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.00%,0.00%
93	,giày cho bé trai,thông thường,Từ khóa mở rộng,giày like cho bé trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
94	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giay dep be gai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,12.0,0.0,0.0,0.00%,0.00%
95	,giày jordan trẻ em,thông thường,Từ khóa mở rộng,giay phat sáng bé trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.00%,0.00%
96	,giày cao cổ bé gái,thông thường,Từ khóa mở rộng,bốt bé gái,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,3.5,0.0,0.0,0.00%,0.00%
97	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,bốt cao cổ,16,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,20.1875,0.0,0.0,0.00%,0.00%
