Báo CáoQuảng cáo Tìm Kiếm Sản Phẩm - Shopee Việt Nam,,,,,,,,,,,,,,,,,,,,,,,
Tên đăng nhập:,tovasa_store,,,,,,,,,,,,,,,,,,,,,,
Thời gian tạo báo cáo:,23/05/2022 9:04,,,,,,,,,,,,,,,,,,,,,,
Khoảng thời gian,01/05/2022 - 22/05/2022,,,,,,,,,,,,,,,,,,,,,,
Sản phẩm,Giày cao cổ bé trai bé gái bốt đẹp cho bé KIKNE JDA151,,,,,,,,,,,,,,,,,,,,,,
Trạng thái:,Đang chạy,,,,,,,,,,,,,,,,,,,,,,
Mã Người bán,"145598609	",,,,,,,,,,,,,,,,,,,,,,
Mã sản phẩm,"8780736071	",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Thứ tự,Từ khóa,Trạng thái,Loại từ khóa,Lệnh tìm kiếm,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,Doanh Thu/Chi Phí,ROI trực tiếp,CIR,CIR trực tiếp
"59	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày nice bé gái,2,1,50.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,849,0,0,0,0.00%,0.00%
"60	",giày cao cổ bé gái,thông thường,Từ khóa mở rộng,Giay the thao be gai 11 tuoi,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%
"61	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày có quai hậu,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,5.5,0,0,0.00%,0.00%
"62	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày thể thao cho bé trai 11 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%
"63	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày bata bé trai,53,2,3.77%,0,0,0.00%,0.00%,0,0,0,0,0,0,924,3.132075472,0,0,0.00%,0.00%
"64	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày sketcher bé gái,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%
"65	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Giầy nike bé trai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%
"66	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày cho bé trai,189,16,8.47%,0,0,0.00%,0.00%,0,0,0,0,0,0,12589,0.989417989,0,0,0.00%,0.00%
"67	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Boot da lộn cho bé,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%
"68	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày cho be trai,19,3,15.79%,0,0,0.00%,0.00%,0,0,0,0,0,0,2409,1.368421053,0,0,0.00%,0.00%
"69	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày  cho bé trai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,18,0,0,0.00%,0.00%
"70	",giày cao cổ bé trai,thông thường,Từ khóa mở rộng,giấy cho bé trai,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%
"71	",giày cao cổ bé trai,thông thường,Từ khóa mở rộng,joden cổ cao,104,7,6.73%,0,0,0.00%,0.00%,0,0,0,0,0,0,2773,6.471153846,0,0,0.00%,0.00%
"72	",giày cao cổ bé gái,thông thường,Từ khóa mở rộng,giày thể thao bé gái,3,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,3.333333333,0,0,0.00%,0.00%
"73	",giày cao cổ bé gái,thông thường,Từ khóa mở rộng,skechers bé gái,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%
"74	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày bé trai tập đi,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,29,0,0,0.00%,0.00%
"75	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày dán cho bé,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,5,0,0,0.00%,0.00%
"76	",giày thể thao cho bé trai,thông thường,Từ khóa chính xác,Giày thể thao cho bé trai,141,12,8.51%,0,0,0.00%,0.00%,0,0,0,0,0,0,10597,2.163120567,0,0,0.00%,0.00%
"77	",giày cao cổ bé gái,thông thường,Từ khóa mở rộng,Giày búp bê cao su bé gái,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,5,0,0,0.00%,0.00%
"78	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày Sneaker Cho Bé,1,1,100.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,391,0,0,0,0.00%,0.00%
"79	",giày cao cổ bé trai,thông thường,Từ khóa mở rộng,Giày Order,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,4,0,0,0.00%,0.00%
"80	",giày cao cổ bé trai,thông thường,Từ khóa mở rộng,Giấy cho bé trai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%
"81	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày sneaker bé trai,19,5,26.32%,0,0,0.00%,0.00%,0,0,0,0,0,0,1869,2.631578947,0,0,0.00%,0.00%
"82	",giày cho bé gái,thông thường,Từ khóa chính xác,Giày cho bé gai,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%
"83	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày có bánh xe,16,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,6,0,0,0.00%,0.00%
"84	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giầy thể thao cho bé trai 1 tuổi,6,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,2.166666667,0,0,0.00%,0.00%
"85	",giày cao cổ bé trai,thông thường,Từ khóa mở rộng,Giày cổ trang em bé,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,3,0,0,0.00%,0.00%
"86	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giay vai cho be,6,1,16.67%,0,0,0.00%,0.00%,0,0,0,0,0,0,931,3.666666667,0,0,0.00%,0.00%
"87	",giầy cho bé trai,thông thường,Từ khóa mở rộng,xăng đan adidas bé trai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,23,0,0,0.00%,0.00%
"88	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày thể thao cho bé,63,6,9.52%,0,0,0.00%,0.00%,0,0,0,0,0,0,2569,2.793650794,0,0,0.00%,0.00%
